config_id,lrc_pct,orc_pct,alpha,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,V_mean,E_mean,Removed_LRC_mean,Removed_ORC_mean,n_runs
0,86.0,18.0,0.6399131657151546,0.30385414828458046,0.039684758518928415,0.5055518509262719,0.043495707089428515,0.5445773124694824,0.016687297221758986,265.0,408.8,3488.8,102.0,5
1,36.0,47.0,0.37050052710804804,0.6157938920011552,0.12326397735094172,0.6475730975465528,0.0857536559457603,2.92041015625,0.046148898403221866,315.2,1193.8,1462.6,1218.8,5
2,64.0,35.0,0.790518245853265,0.4689765216428764,0.08439902259298855,0.5686125169770998,0.029929975082573012,1.4741125583648682,0.019926376783513566,340.6,938.2,2598.8,510.4,5
3,71.0,91.0,0.17735319182304865,-0.07353518362769834,0.07238845101731241,0.03622314544352104,0.05112535750150401,1.146096897125244,0.02658898760763551,7.4,9.4,2883.4,1067.0,5
4,86.0,65.0,0.29830276735556926,-0.06123622467116957,0.059211742352727414,0.05956568745692601,0.04586954188330847,0.5647445678710937,0.043107316722354246,9.6,13.8,3488.8,367.8,5
5,16.0,97.0,0.9198501605372782,0.029762708960803724,0.09577540479170214,0.06456074892445607,0.08430216541461695,5.403998613357544,0.1626920024654245,19.4,22.4,651.2,3302.4,5
6,28.0,64.0,0.7527320970790866,0.570144709758811,0.1494529898936128,0.6437937694566295,0.103148225107315,4.195661115646362,0.14076701243917134,318.6,983.4,1139.8,1866.6,5
7,11.0,52.0,0.82589525837557,0.6112382405053635,0.06326504170883876,0.6543308047880765,0.03879945768676463,6.926260185241699,0.25152494133654113,350.4,1731.6,447.6,1876.6,5
8,66.0,45.0,0.33881245331376186,0.20454339652603695,0.12689478710763083,0.3839063729499067,0.1584018102699248,1.3251548290252686,0.02503587517233443,167.6,419.4,2681.0,619.0,5
9,15.0,28.0,0.22633305684340344,0.7806592084360908,0.033157875542557017,0.7608512145694986,0.03169218162785263,4.34752721786499,0.1000093924821214,360.0,2480.6,610.8,965.0,5
10,86.0,53.0,0.43091206068443144,0.01690941046934772,0.06295759222580802,0.108587794476475,0.10477781611481252,0.5506824016571045,0.02162689263265733,14.6,23.8,3488.8,299.6,5
11,27.0,66.0,0.012840482366806572,0.23924368918682096,0.06377489702102573,0.40704838344160177,0.05582428837218885,3.362275791168213,0.0741582977396634,152.2,377.2,1097.4,1952.8,5
12,47.0,45.0,0.3651808011323914,0.4338566126122972,0.1170578218581539,0.5447330751263062,0.07720621129475133,2.2252973556518554,0.04135414241878206,262.2,829.0,1909.0,966.6,5
13,16.0,19.0,0.5948658710060528,0.8002033627473356,0.0338758421947024,0.7788677317074111,0.024218665154470357,5.6448094844818115,0.16195257821493206,360.0,2758.0,651.2,647.2,5
14,32.0,43.0,0.2999915037451498,0.6081237674215103,0.17933762030778547,0.623825330382709,0.16736237388247327,3.0913437843322753,0.0945646124264854,317.4,1396.2,1301.0,1185.0,5
15,97.0,21.0,0.8746240571921795,0.1793103448275862,0.4609611011158901,0.22466207735633792,0.4367036198836472,0.18796195983886718,0.014139797700812728,7.8,7.6,3935.0,6.0,5
16,96.0,80.0,0.606709676684979,1.0,0.0,1.0,0.0,0.2057199478149414,0.042193687116434515,2.4,1.4,3893.8,34.4,5
17,20.0,34.0,0.9468197909796484,0.6608430384010715,0.06237733134846606,0.6749793093407433,0.03634226944197474,4.620161819458008,0.07351262100325955,355.8,2141.2,811.8,1103.2,5
18,80.0,56.0,0.43276273961995204,0.01034701538660883,0.03837659715314895,0.09811422183021826,0.09415542319028217,0.7737730979919434,0.04450651311993698,19.4,36.0,3246.0,453.4,5
19,42.0,90.0,0.3193418039018624,-0.000860569777030483,0.002677823703965366,0.01703969424240813,0.016211537662194343,2.479946422576904,0.09525737390286591,55.0,76.4,1707.4,2113.6,5
20,41.0,70.0,0.3138203272623701,0.09132106043251231,0.10437432345875924,0.2059676006996923,0.1595887057246149,2.5386579036712646,0.09831800531484931,111.8,304.0,1667.6,1671.8,5
21,7.0,26.0,0.7008408895008554,0.7978417169457315,0.02889411435837823,0.7742759255439122,0.03278616516421051,8.062001991271973,0.2454435043283004,360.0,2790.4,285.4,980.6,5
22,43.0,23.0,0.4931103229848808,0.6566225280506616,0.07944096531960304,0.6566672942841103,0.05878480715370365,2.570975971221924,0.06730098654602576,339.4,1676.4,1746.2,531.6,5
23,47.0,58.0,0.18890636475445843,0.20125567822729504,0.1099026990500067,0.387708535948318,0.1225480069963553,2.16152400970459,0.0592586868480243,178.0,394.8,1909.0,1245.2,5
24,15.0,73.0,0.5484830646246303,0.4276640310609638,0.19433908008528167,0.5421207428817352,0.1509269662705152,5.609749603271484,0.16944923141872686,239.2,655.0,610.8,2515.0,5
25,45.0,62.0,0.3721443167968299,0.23956533061423277,0.11208774700467457,0.44365806725147305,0.08775097394747082,2.332038736343384,0.059392799789395594,193.0,439.4,1830.8,1379.8,5
